setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,coverage,mean_len,sd_len
s031,27,20570240,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.5354054529385133,0.3557142857142857,0.16357142857142856,0.9066666666666666,1.2917008094385412,0.2632717597004227
s031,28,20570241,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.7070884316446884,0.3457142857142857,0.15571428571428572,0.9083333333333333,1.505546933285754,0.1789109507791856
s031,29,20570242,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.6019486747830631,0.3442857142857143,0.14714285714285713,0.8933333333333333,1.377710356502237,0.22159394230567034
s031,30,20570243,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,2000,0.3,0.1,1500,1.630501611969311,0.35214285714285715,0.16071428571428573,0.8883333333333333,1.3884448914144747,0.23015566072519308
s032,1,20580214,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.2518346999641943,0.2592857142857143,0.05785714285714286,0.8583333333333333,2.9912756565350893,0.2580090004914772
s032,2,20580215,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.278192637823281,0.23142857142857143,0.047142857142857146,0.8916666666666667,3.0418489287790678,0.23656237294629484
s032,3,20580216,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.152315351696689,0.2664285714285714,0.05071428571428571,0.9016666666666666,2.9663225778734286,0.16401491105084431
s032,4,20580217,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.3538786532542746,0.24928571428571428,0.047857142857142855,0.91,3.1723937476478685,0.15372348045539086
s032,5,20580218,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.342953747135034,0.25,0.04642857142857143,0.89,3.14899902736618,0.217282133434586
s032,6,20580219,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,2000,0.3,0.1,1500,3.0949320878825857,0.25642857142857145,0.047857142857142855,0.905,2.8901415012574585,0.2252678733709453
