method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n,split_support_n,split_fit_n
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9016666666666666,2.2345278524445598,0.05678609798241853,s002,9,20280421,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3888756751175233,0.17,0.07214285714285715,1400,600,700,700
cp_cox_full,CP + Cox,0.85,2.099294958932633,0.15148501525233013,s002,10,20280422,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3303950732541896,0.175,0.08214285714285714,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9083333333333333,2.169243100372231,0.11937500310650727,s002,10,20280422,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3303950732541896,0.175,0.08214285714285714,1400,600,700,700
cp_cox_full,CP + Cox,0.9066666666666666,2.1871904593834897,0.08158232993582101,s002,11,20280423,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.355633622812239,0.17,0.07571428571428572,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.92,2.2131604693025624,0.07639350671604037,s002,11,20280423,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.355633622812239,0.17,0.07571428571428572,1400,600,700,700
cp_cox_full,CP + Cox,0.88,2.1019204994612344,0.08403478108460125,s002,12,20280424,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.287628118592641,0.17357142857142857,0.07285714285714286,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8883333333333333,2.109750496249259,0.09292823158528207,s002,12,20280424,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.287628118592641,0.17357142857142857,0.07285714285714286,1400,600,700,700
cp_cox_full,CP + Cox,0.9116666666666666,2.16908141468877,0.07376097940995938,s002,13,20280425,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3359439551943684,0.17142857142857143,0.07357142857142857,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.905,2.161594819465287,0.0701823370065412,s002,13,20280425,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3359439551943684,0.17142857142857143,0.07357142857142857,1400,600,700,700
cp_cox_full,CP + Cox,0.8916666666666667,2.0230977195766973,0.07938722173505836,s002,14,20280426,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.196719479745097,0.185,0.08142857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.89,2.0193926878404813,0.07777821867712209,s002,14,20280426,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.196719479745097,0.185,0.08142857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.8916666666666667,2.0815671238813174,0.064760140829713,s002,15,20280427,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.262378935734714,0.16428571428571428,0.07642857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9216666666666666,2.1214120239878085,0.05534081858744264,s002,15,20280427,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.262378935734714,0.16428571428571428,0.07642857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.9333333333333333,2.099113893409452,0.06901508633193656,s002,16,20280428,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.23819752940569,0.16142857142857142,0.07285714285714286,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.925,2.089042178127735,0.07193235356674428,s002,16,20280428,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.23819752940569,0.16142857142857142,0.07285714285714286,1400,600,700,700
cp_cox_full,CP + Cox,0.9216666666666666,2.12737118352749,0.06413503528802561,s002,17,20280429,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2621788259745292,0.1792857142857143,0.07071428571428572,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.905,2.10387259335633,0.0664190081591708,s002,17,20280429,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.2621788259745292,0.1792857142857143,0.07071428571428572,1400,600,700,700
