setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s031,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5722614920205897,0.9016666666666666,0.01638263729067152,1.359757681906967,0.045420377906590634,0.3577619047619048,0.15657142857142858,2.0452296421327034,0.0029910466651753703,0.008292588516616321,0.8955492893660478,0.9077840439672854,1.342797434062774,1.37671792975116,0.9,0.0016666666666665941
s032,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.1949844287226266,0.8978888888888888,0.014797051931019828,2.971777954248904,0.12207706741370629,0.24783333333333332,0.04757142857142857,2.0452296421327034,0.0027015597090649787,0.022288121192188592,0.8923635788919178,0.9034141988858599,2.9261936281191936,3.017362280378614,0.9,0.0021111111111111747
s033,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.2,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,6.299192660517706,0.8981666666666667,0.013464512744554695,6.072789909784914,0.40075338420084217,0.20488095238095239,0.007952380952380952,2.0452296421327034,0.0024582724520028003,0.0731672228411119,0.8931389349793923,0.903194398353941,5.923146136797743,6.222433682772086,0.9,0.0018333333333333535
s034,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.75,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,1.5853542074341338,0.9031666666666667,0.015452002064978248,1.3728286418145452,0.06142086763965852,0.44711904761904764,0.09488095238095239,2.0452296421327034,0.0028211366965349978,0.011213864902593353,0.897396794270405,0.9089365390629284,1.3498937129128898,1.3957635707162006,0.9,0.003166666666666651
s035,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.9,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,3.243801404501131,0.9009444444444444,0.013921532519388007,3.029235441966309,0.11869710174966726,0.3680952380952381,0.01804761904761905,2.0452296421327034,0.0025417124653035125,0.021671026712926224,0.8957460587686275,0.9061428301202614,2.9849132157575826,3.073557668175035,0.9,9.444444444444144e-4
s036,strong_signal,Stronger covariate effect,3,0.6,1.2,1,0.35,0.97,cp_cox_full,CP + Cox,2000,0.3,0.1,1500,30,6.2436043868198166,0.8976666666666666,0.0168416105745055,6.021804103668198,0.3211042903873836,0.35214285714285715,0.0011190476190476191,2.0452296421327034,0.0030748433387914006,0.058625354385619756,0.8913779059252561,0.9039554274080771,5.901901791098194,6.141706416238202,0.9,0.0023333333333334094
s001,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,1.375552866443494,0.8975555555555556,0.02012286652899011,1.1980905666842514,0.03938063767908127,0.30578571428571427,0.20492857142857143,2.0452296421327034,0.0036739159731978555,0.007189887861923568,0.8900415537044665,0.9050695574066446,1.1833855949054353,1.2127955384630675,0.9,0.0024444444444444713
s002,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,2.2825628037407837,0.8978333333333334,0.02123644485403134,2.1112457527040607,0.08496459239202903,0.17373809523809525,0.07671428571428571,2.0452296421327034,0.003877226629255823,0.015512341280782039,0.8899035145019131,0.9057631521647537,2.0795194524977263,2.142972052910395,0.9,0.00216666666666665
s003,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.97,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,3.620165954493644,0.8975555555555556,0.01445519788343617,3.449624008901749,0.1657885904874946,0.12176190476190477,0.019642857142857142,2.0452296421327034,0.002639145984652974,0.030268716928995736,0.8921578959578278,0.9029532151532833,3.387717531809243,3.511530485994255,0.9,0.0024444444444444713
s004,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.75,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,1.3812524478611055,0.9042777777777777,0.015447868911124114,1.2122137177552752,0.03142395648618854,0.3637142857142857,0.16552380952380952,2.0452296421327034,0.0028203820893351484,0.005737203271182079,0.8985094487265293,0.9100461068290262,1.200479819562113,1.2239476159484375,0.9,0.004277777777777714
