method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,censor_rate_emp,admin_mass_emp
cp_cox_full,CP + Cox,0.8966666666666666,1.57183239544763,0.21745305733934991,aft_lognormal_linear,Log-Normal AFT (Linear),7,29260421,0.8,2.011214704140466,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3292857142857143,0.12571428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8916666666666667,1.5580091978120403,0.2267371526919378,aft_lognormal_linear,Log-Normal AFT (Linear),7,29260421,0.8,2.011214704140466,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3292857142857143,0.12571428571428572
cp_cox_full,CP + Cox,0.87,1.6851368275159755,0.21717051646386762,aft_lognormal_linear,Log-Normal AFT (Linear),8,29260422,0.8,2.162577364931946,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3357142857142857,0.13071428571428573
cp_cox_crossfit,CP + Cox (Cross-Fit),0.91,1.7437548085532164,0.18294909774916276,aft_lognormal_linear,Log-Normal AFT (Linear),8,29260422,0.8,2.162577364931946,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3357142857142857,0.13071428571428573
cp_cox_full,CP + Cox,0.9,1.7050956836173001,0.22864340097920405,aft_lognormal_linear,Log-Normal AFT (Linear),9,29260423,0.8,2.167988942742773,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.335,0.11357142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9216666666666666,1.7541211928653146,0.19840347373878445,aft_lognormal_linear,Log-Normal AFT (Linear),9,29260423,0.8,2.167988942742773,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.335,0.11357142857142857
cp_cox_full,CP + Cox,0.9,1.7035198867897499,0.2063364408841684,aft_lognormal_linear,Log-Normal AFT (Linear),10,29260424,0.8,2.148464554158064,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.31285714285714283,0.13785714285714284
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9116666666666666,1.7363959014937886,0.18493479583472414,aft_lognormal_linear,Log-Normal AFT (Linear),10,29260424,0.8,2.148464554158064,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.31285714285714283,0.13785714285714284
cp_cox_full,CP + Cox,0.8716666666666667,1.5479328592982975,0.2095925687587555,aft_lognormal_linear,Log-Normal AFT (Linear),11,29260425,0.8,2.0226654730218163,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.13214285714285715
cp_cox_crossfit,CP + Cox (Cross-Fit),0.895,1.5891440919352178,0.18998850785769147,aft_lognormal_linear,Log-Normal AFT (Linear),11,29260425,0.8,2.0226654730218163,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32,0.13214285714285715
cp_cox_full,CP + Cox,0.9266666666666666,1.6559576671864351,0.14855580723892822,aft_lognormal_linear,Log-Normal AFT (Linear),12,29260426,0.8,2.05628151855247,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32285714285714284,0.12571428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9133333333333333,1.6276871551921472,0.1625990144995146,aft_lognormal_linear,Log-Normal AFT (Linear),12,29260426,0.8,2.05628151855247,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32285714285714284,0.12571428571428572
cp_cox_full,CP + Cox,0.8866666666666667,1.6826503172507397,0.19143293010984513,aft_lognormal_linear,Log-Normal AFT (Linear),13,29260427,0.8,2.1279538208560034,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32857142857142857,0.13285714285714287
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8766666666666667,1.6578639029740048,0.20762154113491724,aft_lognormal_linear,Log-Normal AFT (Linear),13,29260427,0.8,2.1279538208560034,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.32857142857142857,0.13285714285714287
cp_cox_full,CP + Cox,0.935,1.569778719820941,0.1458577652738121,aft_lognormal_linear,Log-Normal AFT (Linear),14,29260428,0.8,1.9585654162064177,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3292857142857143,0.13357142857142856
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9116666666666666,1.537104773442602,0.16247257065438814,aft_lognormal_linear,Log-Normal AFT (Linear),14,29260428,0.8,1.9585654162064177,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3292857142857143,0.13357142857142856
cp_cox_full,CP + Cox,0.8866666666666667,1.538976108221345,0.19750283559506318,aft_lognormal_linear,Log-Normal AFT (Linear),15,29260429,0.8,1.9740631575399838,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.35214285714285715,0.14142857142857143
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.5219828745867874,0.2090811992095588,aft_lognormal_linear,Log-Normal AFT (Linear),15,29260429,0.8,1.9740631575399838,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.35214285714285715,0.14142857142857143
cp_cox_full,CP + Cox,0.8966666666666666,1.641632419819381,0.15450188129232853,aft_lognormal_linear,Log-Normal AFT (Linear),16,29260430,0.8,2.0894158211322376,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3242857142857143,0.12071428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9083333333333333,1.6753252574360902,0.1394325702511644,aft_lognormal_linear,Log-Normal AFT (Linear),16,29260430,0.8,2.0894158211322376,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3242857142857143,0.12071428571428572
