method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,split_frac,censor_rate_emp,admin_mass_emp
cp_cox_halfsplit,CP + Cox (Half-Split),0.9116666666666666,1.6357775318805943,0.16907865035845773,aft_lognormal_linear,Log-Normal AFT (Linear),10,20440425,0.8,2.0119094670216295,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.32,0.12
cp_cox_full,CP + Cox,0.9066666666666666,1.5894834071278943,0.15005411595324583,aft_lognormal_linear,Log-Normal AFT (Linear),11,20440426,0.8,1.9932214707912976,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3407142857142857,0.11928571428571429
cp_cox_halfsplit,CP + Cox (Half-Split),0.925,1.624781959964699,0.1254184571509034,aft_lognormal_linear,Log-Normal AFT (Linear),11,20440426,0.8,1.9932214707912976,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3407142857142857,0.11928571428571429
cp_cox_full,CP + Cox,0.9,1.667414058654421,0.16748280123403142,aft_lognormal_linear,Log-Normal AFT (Linear),12,20440427,0.8,2.085303793183343,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3292857142857143,0.12785714285714286
cp_cox_halfsplit,CP + Cox (Half-Split),0.91,1.6847299297463725,0.16889091822522204,aft_lognormal_linear,Log-Normal AFT (Linear),12,20440427,0.8,2.085303793183343,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3292857142857143,0.12785714285714286
cp_cox_full,CP + Cox,0.8916666666666667,1.6093275989063485,0.201200407896849,aft_lognormal_linear,Log-Normal AFT (Linear),13,20440428,0.8,2.0518016718022065,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.34,0.135
cp_cox_halfsplit,CP + Cox (Half-Split),0.895,1.6134317654780992,0.20262581018592374,aft_lognormal_linear,Log-Normal AFT (Linear),13,20440428,0.8,2.0518016718022065,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.34,0.135
cp_cox_full,CP + Cox,0.9166666666666666,1.6029150758503088,0.1931722878506186,aft_lognormal_linear,Log-Normal AFT (Linear),14,20440429,0.8,2.02054947838418,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.32785714285714285,0.125
cp_cox_halfsplit,CP + Cox (Half-Split),0.9083333333333333,1.5773812263904465,0.2112966763943966,aft_lognormal_linear,Log-Normal AFT (Linear),14,20440429,0.8,2.02054947838418,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.32785714285714285,0.125
cp_cox_full,CP + Cox,0.895,1.772326483815965,0.1629259295643685,aft_lognormal_linear,Log-Normal AFT (Linear),15,20440430,0.8,2.1733220971529845,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33785714285714286,0.135
cp_cox_halfsplit,CP + Cox (Half-Split),0.8983333333333333,1.7724658440114722,0.168213061519272,aft_lognormal_linear,Log-Normal AFT (Linear),15,20440430,0.8,2.1733220971529845,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.33785714285714286,0.135
cp_cox_full,CP + Cox,0.8933333333333333,1.6342504535496163,0.20866525819916196,aft_lognormal_linear,Log-Normal AFT (Linear),16,20440431,0.8,2.0585483966124043,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3271428571428571,0.13642857142857143
cp_cox_halfsplit,CP + Cox (Half-Split),0.8933333333333333,1.6345774166984168,0.20343420259374534,aft_lognormal_linear,Log-Normal AFT (Linear),16,20440431,0.8,2.0585483966124043,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3271428571428571,0.13642857142857143
cp_cox_full,CP + Cox,0.9116666666666666,1.5923169562794135,0.18732510074518782,aft_lognormal_linear,Log-Normal AFT (Linear),17,20440432,0.8,2.021536914838161,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3314285714285714,0.13142857142857142
cp_cox_halfsplit,CP + Cox (Half-Split),0.9083333333333333,1.5620094346268352,0.23834584447256857,aft_lognormal_linear,Log-Normal AFT (Linear),17,20440432,0.8,2.021536914838161,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.3314285714285714,0.13142857142857142
cp_cox_full,CP + Cox,0.875,1.6597842432135368,0.17110171998302823,aft_lognormal_linear,Log-Normal AFT (Linear),18,20440433,0.8,2.088503301753814,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.34785714285714286,0.11857142857142858
cp_cox_halfsplit,CP + Cox (Half-Split),0.8783333333333333,1.6646762487324838,0.15254804108088096,aft_lognormal_linear,Log-Normal AFT (Linear),18,20440433,0.8,2.088503301753814,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,0.34785714285714286,0.11857142857142858
